CCP,quarter,clearning service,4.1.1,4.1.2,4.1.3,4.1.4,4.1.5,4.1.6,4.1.7,4.1.8,4.1.9,4.1.10,4.4.7.PDA,4.4.7.MA,6.1.1.CLIENT,6.1.1.TOTAL,6.2.15.PRE,6.2.15.POST,18.1.1.1,18.1.1.2,18.1.2.2,19.1.1,19.1.2,23.1.2.OTC,23.1.2.ETD,23.2.1.OTC,23.2.1.ETD,year,q
KELER,Q2-2018,TEA,742262,15216,   N/A   ,7054169,7054169,                                 -    ,                       -    ,                             -    ,7054169,                       -    ,"8258874,62349361","717481,832373564",7777559,9869648,51000393,48527700,10,10,0,,19,0,"5935508,45901639",0,"42648360,3662411",2018,2
KELER,Q2-2018,KGA,642675,15216,   N/A   ,6107730,6107730,                                 -    ,                       -    ,                             -    ,6107730,                       -    ,"6525260,57439136","1854421,91500081",22928036,37382176,71550424,69367005,8,4,0,1217,12,0,"31001,9508196721",0,"32120121,6272754",2018,2
KELER,Q2-2018,TP KGA,269596,15216,   N/A   ,2562132,2562132,                                 -    ,                       -    ,                             -    ,2562132,                       -    ,,,0,8090142,16996332,16977789,0,43,0,,0,0,0,0,0,2018,2
KELER,Q2-2018,CEEGEX KGA,129285,17000,   N/A   ,1000000,1000000,                                 -    ,                       -    ,                             -    ,1000000,                       -    ,"371461,105447352","13041,5133345567",0,1701618,18058737,17642309,0,28,0,,0,0,0,0,0,2018,2
Kdpw,Q2-2018,organised market,1509481,39720201,10710740,33542693,42128842,81078,0,16771346,33461614,0,"212450565,17",50386141,133878954,141394567,276149720,275262861,10,21,0,,,0,386861742,0,1059193038,2018,2
Kdpw,Q2-2018,OTC market,1464406,39720201,10710740,32541054,32541054,107500,0,16270527,32433554,0,"127957261,106925","97530105,3457548",0,31585875,44374960,44374960,2,13,0,,,98088130,0,74831176255,0,2018,2
ICE CLEAR EUROPE,Q2-2018,F&O,133813690,0,0,2401784182,2461554307,0,0,4803568365,,0,2214878269,1633549570,26520160759,30730393198,33820763848,32608477531,73,0,0,Not available,63,0,0,0,0,2018,2
ICE CLEAR EUROPE,Q2-2018,CDS,42793563,0,0,932448834,949660149,0,0,932448834,,0,25791339,2842484,1115547629,5902564327,6757131308,6568205682,22,0,0,Not available,13,8226161085,0,,0,2018,2
Nasdaq,Q2-2018,Financial Markets,8609968,0,12236360,259403998,298141275,37932717,18765687,194872285,194872285,0,254996100,179341896,1823864696,3135151880,3971090772,3758177901,18,22,0,3521,39,9645621867,2905152897,347573314401,8340914868,2018,2
Nasdaq,Q2-2018,Commodities,4731399,0,6725656,152950000,165063466,20849534,11285718,133000000,133000000,0,190395482,97585754,1152564871,1736778282,2666763946,2622712657,14,79,0,203,145,0,212849152,0,12858948715,2018,2
Nasdaq,Q2-2018,Seafood,481611,0,98114,6166219,8936917,304156,291681,5361930,5361930,0,10345201,5547051,,,30126181,30126181,,,,21,21,0,2448742,0,183040214,2018,2
BME CLEARING,Q2-2018,financial derivatives,2500000,-,-,295200000,295200000,-,4000000,295200000,295200000,295200000,"428136442,36","333110841,400246","725382399,21","1553473746,45","1723555428,83863","1619302158,84",34,0,0,40400,31,0,"2769270476,19048",0,"14443534329,1224",2018,2
BME CLEARING,Q2-2018,repo,1000000,-,-,26000000,26000000,-,2000000,26000000,26000000,26000000,"59546943,39","19791312,7143701","12084118,18","1189714328,32","1384551376,16341","1347140555,2",0,26,0,16,1,0,"1316247311,3598",0,"10776914264,927",2018,2
BME CLEARING,Q2-2018,power,500000,-,-,12250000,12250000,-,1000000,12250000,12250000,12250000,"16185622,88","12214823,4248425","93329445,63","93443346,33","93544876,3916965","93248605,55",6,0,0,125,6,0,"2627217,12476191",0,"350412877,495",2018,2
BME CLEARING,Q2-2018,IRS,1000000,-,-,8000000,8000000,-,2000000,8000000,8000000,8000000,"8844863,0347","4443232,35249843",0,"8162759,14","24014678,2248412","22677987,22",0,8,0,0,0,"711487,873015873",0,"499564645,93",0,2018,2
BME CLEARING,Q2-2018,equity,1000000,-,-,113850000,113850000,-,3000000,113850000,113850000,113850000,"682562936,34","115871606,813189","245161764,02","296944869,19","664524750,439099",640644321,28,0,0,232,27,0,"5637539163,3127",0,"2819548647,5",2018,2
OMI CLEAR,Q2-2018,aggregated,"1941895,15",0,0,"47186200,06","47186200,06",0,"8914324,85","47186200,06","For additional information regarding participants commitment to replenish the default fund, please see OMIClear Instruction B07-2014.",0,"54913420,38","41452173,96","64068766,33","82814140,05","170854125,69","170854125,69",4,9,n.a.,54,4,0,"5183929,69",0,"652679800,41",2018,2
LCHLTD,Q2-2018,commodities,2178206,0,0,253936008,253936008,0,0,253936008,253936008,0,217820664,67625980,0,1422109361,172692350000,162496430000,22,14,2,0,22,,,,,2018,2
LCHLTD,Q2-2018,equities,10170000,0,0,1202270000,1202270000,0,0,1202270000,1202270000,0,824190000,535510000,403498673,12235710000,172692350000,162496430000,7,80,0,0,7,,,454189879,2885642979,2018,2
LCHLTD,Q2-2018,fixed income,13158346,0,0,1537725167,1537725167,0,0,1537725167,1537725167,0,1464607994,860130382,0,5128169497,172692350000,162496430000,11,21,0,19,11,,,,,2018,2
LCHLTD,Q2-2018,OTC FX,48405846,0,0,5643022402,5643022402,0,0,5643022402,5643022402,0,4275751932,3598521528,4554812,118558884938,172692350000,162496430000,55,58,0,20211,55,58691266901,0,1522988422164,0,2018,2
LCHLTD,Q2-2018,interest rates,,,,,,,,,,,,,65829580722,,172692350000,162496430000,,,,,,0,0,0,0,2018,2
ICE CLEAR NETHERLANDS,Q2-2018,aggregated,1875000,0,0,3000000,3000000,0,0,6000000,"See ICNL Rulebook - Rules 908 and 909 
https://www.theice.com/publicdocs/ICNL_Clearing_Rules.pdf",0,0,0,0,0,0,0,3,0,0,,0,,,0,0,2018,2
LCHSA,Q2-2018,cash and derivatives,11490000,0,0,2100510000,2100510000,0,0,2100510000,2100510000,0,1099800000,833770000,3735210000,5081450000,33679220000,33079790000,46,21,0,211,46,,,,,2018,2
LCHSA,Q2-2018,fixed income,6910000,0,0,1262520000,1262520000,0,0,1262520000,1262520000,0,396590000,179640000,91700000,18283680000,33679220000,33079790000,13,46,1,2,13,,,,,2018,2
LCHSA,Q2-2018,OTC CDS,20000000,0,0,1410970000,1410970000,0,0,1410970000,1410970000,0,455770000,272110000,14860000,2304140000,33679220000,33079790000,12,3,0,12,12,5178080001,0,135684265272,0,2018,2
LCHSA,Q2-2018,€GC plus,880000,0,0,161680000,161680000,0,0,161680000,161680000,0,104460000,16970000,339430000,372490000,33679220000,33079790000,1,10,0,,,,,,,2018,2
LCHSA,Q2-2018,equity clear,,,,,,,,,,,,,,,33679220000,33079790000,,,,,,0,,0,,2018,2
LCHSA,Q2-2018,listed derivatives,,,,,,,,,,,,,,,33679220000,33079790000,,,,,,0,0,0,0,2018,2
LME,Q2-2018,aggregated,,0,0,,,0,,,,,,,,,,,55,0,0,,,0,,0,,2018,2
Euro-ccp,Q2-2018,aggregated,4744190,0,0,157964359,180481495,0,0,157964359,157964359,0,269965560,29784055,188108000,850641528,1282568518,1254901781,20,27,2,30,3,2428575498,36806755951,5675025323,108073753298,2018,2
CCG,Q2-2018,equity,6297295,,,2103507000,2103507000,,6297295,3155260500,2103507000,,1623357537,623862187,"1729419191,77","2264452704,68","2535803818,47","2492438137,62",29,16,0,62,14,0,81244412698,0,27248545597,2018,2
CCG,Q2-2018,bound,12877592,,,4301551000,4301551000,,12877592,6452326500,4301551000,,3273633809,1687997522,"338879022,72","8925595799,9","5185573164,79","5096892838,16",17,55,0,30,10,0,1474852443,0,580354322053,2018,2
CCG,Q2-2018,idex,8674,,,2899000,2899000,,8674,4348500,2899000,,9328880,2740661,"1843043,55","1843043,55","3494780,51","3435015,03",6,0,0,7,4,0,8052868016,0,27299396,2018,2
CCG,Q2-2018,agrex,602,,,200000,200000,,602,300000,200000,,122444,10122,0,0,"241102,48","236979,31",3,0,0,1,1,0,295374,0,0,2018,2
CCP AUSTRIA,Q2-2018,aggregated,1875000,0,0,"32320318,92","32320318,92",0,1875000,"161601594,6","161601594,6",0,"29409721,82","16584295,1666667","21989354,48","35029651,69","165422357,545556","156016497,14",7,42,0,,49,0,"304194280,040667",0,"303837131,881396",2018,2
Eurex,Q2-2018,aggregated,150000000,,,3516994538,"4367791953,67",,600000000,,7033989076,365000000,"3368275132,72","2806522890,19","24442260281,57","37266422351,8","52094277622,7","48544508202,83",85,147,0,546,193,,,,,2018,2
KELER,Q1-2018,TEA,797444,15997, N/A ,8094705,8094705,                               -  ,                     -  ,                           -  ,8094705,                     -  ,"8682982,5668853","1061521,89034207","6369931,66213406","7896381,27339626","52331015,46","49589601,28",10,10,0,,20,0,"8560186,54098361",0,"47232751,4746718",2018,1
KELER,Q1-2018,KGA,687972,15997, N/A ,6981283,6981283,                               -  ,                     -  ,                           -  ,6981283,                     -  ,"6900994,7656535","2430969,10157293","18236123,8201888","29473977,8275476",66556920,"63231853,03",8,4,0,1087,12,0,"25521,6557377049",0,"29162620,6022702",2018,1
KELER,Q1-2018,TP KGA,274438,15997, N/A ,2775282,2775282,                               -  ,                     -  ,                           -  ,2775282,                     -  ,,,0,"8499401,91969285","19386283,65","19367699,01",0,39,0,,0,0,0,0,0,2018,1
KELER,Q1-2018,CEEGEX KGA,100388,17000, N/A ,1000000,1000000,                               -  ,                     -  ,                           -  ,1000000,                     -  ,"390536,295792673","61061,4564238878",0,"1329418,00031995","17184197,32","16827703,99",0,25,0,,0,0,0,0,0,2018,1
Kdpw,Q1-2018,organised market,1753632,41254069,11124355,37333992,43910151,103950,0,18666996,37230041,0,"212450565,17",56792333,127925769,134047310,272455718,271339902,10,23,0,,,0,210432168,0,405173703,2018,1
Kdpw,Q1-2018,OTC market,1334408,41254069,11124355,27525368,27525368,90706,0,13762684,27434661,0,"116362192,955093","93560826,2708361",0,32273805,44286839,44286839,2,13,0,,,158180765,0,72676221915,0,2018,1
ICE CLEAR EUROPE,Q1-2018,F&O,81162243,0,0,2272542813,2333586659,0,0,4545085626,,0,1973934910,1385394242,23886458939,28580939877,31582801887,30467458605,72,0,0,Not available,63,0,0,0,0,2018,1
ICE CLEAR EUROPE,Q1-2018,CDS,40571243,0,0,943553007,950435606,0,0,943553007,,0,132223397,27774900,1078285913,5918621478,6509772267,6340364916,22,0,0,Not available,13,6883662293,0,,0,2018,1
Nasdaq,Q1-2018,Financial Markets,8751203,0,13646269,263659169,242146353,42303434,21351299,198068901,198068901,0,224724844,152195741,1902758475,3296815391,4216324735,3941242177,18,22,0,3486,39,11100791200,3251428890,362057253200,8131698046,2018,1
Nasdaq,Q1-2018,Commodities,4731398,0,6450641,152950000,129235901,19996989,10289079,133000000,133000000,0,115938930,75501533,765677111,1527882508,1563723666,1535161613,14,84,0,230,172,0,169989130,0,9678893228,2018,1
Nasdaq,Q1-2018,Seafood,473375,0,145759,6060762,7988006,451855,353426,5270228,5270228,0,10168273,6249256,9358680,38259364,45161563,43458560,,,,21,21,0,1061796,0,200574356,2018,1
BME CLEARING,Q1-2018,financial derivatives,2000000,-,-,384150000,384150000,-,4000000,768300000,768300000,384150000,"428460956,6","332139280,124703","782102567,42","1968950195,79","2221556815,09934","2069278190,65994",36,0,0,41954,33,0,"3012736825,39682",0,"16008711084,54",2018,1
BME CLEARING,Q1-2018,repo,1000000,-,-,27000000,27000000,-,2000000,54000000,54000000,27000000,"59546943,39","20219182,2170356","9163237,48","1632725579,19","1816055702,90728","1785347553,84996",0,27,0,16,1,0,"1125482237,54296",0,"12812299707,1895",2018,1
BME CLEARING,Q1-2018,power,500000,-,-,11600000,11600000,-,1000000,23200000,23200000,11600000,"16185622,88","11624850,998498","54615555,88","54615555,88","53269965,7798696","53142015,7452524",6,0,0,123,6,0,"1991447,39873016",0,"364949939,205",2018,1
BME CLEARING,Q1-2018,IRS,1000000,-,-,8000000,8000000,-,2000000,16000000,16000000,8000000,"9661830,8546","6339617,49555811",0,"8996543,78","35441064,511495","33365849,8809331",0,9,0,0,0,"235358,667619048",0,"484740909,93",0,2018,1
BME CLEARING,Q1-2018,equity,1500000,-,-,93250000,93250000,-,3000000,186500000,186500000,93250000,749432256,"119458165,544822","249021678,29","284606755,47","548505961,446138","526219043,323914",28,0,0,252,27,0,"4537123266,06444",0,"2637929155,69",2018,1
OMI CLEAR,Q1-2018,aggregated,"1941895,15",0,0,"53576822,39","53576822,39",0,"8914324,85","53576822,39","For additional information regarding participants commitment to replenish the default fund, please see OMIClear Instruction B07-2014.",0,"55692291,22","43106930,6","74608191,76","99567750,51","183503090,75","183503090,75",4,10,n.a.,70,4,0,"4028434,82",0,"672536249,73",2018,1
LCHLTD,Q1-2018,commodities,2011658,0,0,257172248,257172248,0,0,257172248,257172248,0,137478568,56509315,0,2172819750,163490700000,153910140000,22,14,2,0,22,,,,,2018,1
LCHLTD,Q1-2018,equities,11260000,0,0,1431230000,1431230000,0,0,1431230000,1431230000,0,824190000,527770000,493770716,11988000000,163490700000,153910140000,7,77,0,0,7,0,0,443002454,2758314384,2018,1
LCHLTD,Q1-2018,fixed income,15932148,0,0,2035484132,2035484132,0,0,2035484132,2035484132,0,1385796607,904821037,0,3406379352,163490700000,153910140000,11,19,0,21,11,,,,,2018,1
LCHLTD,Q1-2018,OTC FX,44862269,0,0,5729797691,5729797691,0,0,5729797691,5729797691,0,3871985369,3597291118,14609203,111905360612,163490700000,153910140000,55,54,0,19690,55,54970546215,0,1400459305244,0,2018,1
LCHLTD,Q1-2018,interest rates,,,,,,,,,,,,,62649445650,,163490700000,153910140000,,,,,,0,0,0,0,2018,1
ICE CLEAR NETHERLANDS,Q1-2018,aggregated,1875000,0,0,3000000,3000000,0,0,6000000,See ICNL Rulebook - Rules 908 and 909.  https://www.theice.com/publicdocs/ICNL_Clearing_Rules.pdf,0,4737587,1604793,0,0,0,0,3,0,0,,0,,0,0,0,2018,1
LCHSA,Q1-2018,cash and derivatives,13020000,0,0,2100500000,2100500000,0,0,2100500000,2100500000,0,1075290000,810540000,3215640000,4257150000,24818870000,24411990000,46,23,0,221,46,,,,,2018,1
LCHSA,Q1-2018,fixed income,8180000,0,0,1320170000,1320170000,0,0,1320170000,1320170000,0,329850000,158590000,109350000,16141050000,24818870000,24411990000,13,44,1,2,13,,,,,2018,1
LCHSA,Q1-2018,OTC CDS,20000000,0,0,1018300000,1018300000,0,0,1018300000,1018300000,0,455770000,288880000,20050000,2300080000,24818870000,24411990000,11,2,0,9,11,5135990000,0,136370470000,0,2018,1
LCHSA,Q1-2018,€GC plus,1090000,0,0,175270000,175270000,0,0,175270000,175270000,0,148760000,57280000,338150000,403890000,24818870000,24411990000,1,9,0,,,,,,,2018,1
LCHSA,Q1-2018,equity clear,,,,,,,,,,,,,,,24818870000,24411990000,,,,,,0,,0,,2018,1
LCHSA,Q1-2018,listed derivatives,,,,,,,,,,,,,,,24818870000,24411990000,,,,,,0,0,0,0,2018,1
LME,Q1-2018,aggregated,16475934,0,0,1148619746,1148619746,0,16475934,1148619746,1148619746,32951870,1042402527,668839783,8875774272,11877261285,6810341011,7043135994,55,0,0,,,0,110468864329,0,113296053427,2018,1
Euro-ccp,Q1-2018,aggregated,4744190,0,0,190462315,213499824,0,0,190462315,190462315,0,213944351,26535467,208385879,994014591,844848721,827460707,20,27,2,30,3,0,0,0,0,2018,1
CCG,Q1-2018,equity,"4759052,62",,,1203730000,1203730000,,"4759052,62",1805595000,1203730000,,1028000,570071,"1864365820,53","2378324348,48","2136424227,14","2112421483,57",29,16,0,60,14,0,76127595238,0,42604406308,2018,1
CCG,Q1-2018,bound,"14242093,48",,,3602321000,3602321000,,"14242093,48",5403481500,3602321000,,,,"118239388,52","7432024809,71","6393531654,39","6321700274,23",17,57,0,31,10,0,1367640278,0,847654325704,2018,1
CCG,Q1-2018,idex,"9883,97",,,2500000,2500000,,"9883,97",3750000,2500000,,,,"1476931,63","1476931,63","4437091,85","4387241,08",6,0,0,7,4,0,7681008325,0,31216535,2018,1
CCG,Q1-2018,agrex,"790,72",,,200000,200000,,"790,72",300000,200000,,,,0,0,"354967,35","350979,29",3,0,0,1,1,0,157140,0,0,2018,1
CCP AUSTRIA,Q1-2018,aggregated,1875000,0,0,"33083722,25","33083722,25",0,1875000,"165418611,25","165418611,25",0,"26548196,36","15881865,06","20528345,13","34900994,1","203284176,9","194117486,3",7,42,0,,49,0,"285782352,383811",0,"280427493,374618",2018,1
Eurex,Q1-2018,aggregated,150000000,,,3147579153,"4008404969,36",,600000000,,6295158306,315000000,"3493142700,79","2863011770,94","23161250968,49","38258913474,55","52351554815,49","48951941453,31",84,144,0,531,189,,,,,2018,1
Kdpw,Q4-2017,organised market,1844467,42725049,10074710,43404256,50135009,210112,0,21702128,43194143,0,"212450565,17","63445531,55",175676212,181665014,321668789,320504426,10,23,0,,,0,229412558,0,369086955,2017,4
Kdpw,Q4-2017,OTC market,1275017,,,30003876,30003876,92078,0,15001938,29911797,0,"110909976,555967","92228592,619808",0,27192017,39296662,39296662,2,13,0,,,94229921,0,64953650944,0,2017,4
ICE CLEAR EUROPE,Q4-2017,F&O,83381972,0,0,1917785374,1977117102,0,0,3835570749,,0,2001167347,1381533251,24128004811,28660265832,31941537037,30866725010,72,0,0,Not available,63,0,0,0,0,2017,4
ICE CLEAR EUROPE,Q4-2017,CDS,41656252,0,0,804593824,812792473,0,0,804593824,,0,132223397,29276556,882528135,5390428374,5890760105,5729061222,22,0,0,Not available,13,6613914420,0,,0,2017,4
Nasdaq,Q4-2017,Financial Markets,9650744,0,14318168,286764257,265158125,42238596,21848477,219325870,219325870,0,234781052,169897889,2275054040,3538716727,4260550492,3979408314,18,22,0,3486,39,11795411522,3201599475,372322315000,9372542014,2017,4
Nasdaq,Q4-2017,Commodities,4598264,0,6965701,85100000,117975262,20548820,10597219,74000000,74000000,0,98775038,71956239,790375040,1462529900,1831149996,1758276789,13,86,0,230,225,0,166366051,0,8250449517,2017,4
Nasdaq,Q4-2017,Seafood,497371,0,153148,6895114,7720141,451788,363761,5995752,5995752,0,9999530,6680297,4536141,25816988,26431857,25790394,,,,21,21,0,3223940,0,219139355,2017,4
BME CLEARING,Q4-2017,financial derivatives,2000000,-,-,341050000,341050000,-,4000000,682100000,682100000,341050000,"415901572,28","281700432,04298","1231882238,22","2198469355,61","2513224563,49991","2349927191,84982",38,0,0,42775,33,0,"3412149206,34921",0,"16735799835,25",2017,4
BME CLEARING,Q4-2017,repo,1000000,-,-,28000000,28000000,-,2000000,56000000,56000000,28000000,"83624817,23","22918862,4603137","2116247,92","1291836830,6","1775456383,4464","1730858382,00811",0,28,0,1,1,0,"2147561134,77892",0,"17868539938,5275",2017,4
BME CLEARING,Q4-2017,power,500000,-,-,13200000,13200000,-,1000000,26400000,26400000,13200000,"16185622,88","11314466,5114118","79033552,61","79033552,61","78909861,0533737","78732192,9255973",6,0,0,168,6,0,"2627670,12761905",0,"490426526,175",2017,4
BME CLEARING,Q4-2017,IRS,1000000,-,-,8000000,8000000,-,2000000,16000000,16000000,8000000,"15905959,9772","8481269,38517058",0,"7959389,49","31962562,3223611","30198249,0595962",0,9,0,0,0,"24825396,8253968",0,"469913313,87",0,2017,4
BME CLEARING,Q4-2017,equity,1500000,-,-,88250000,88250000,-,3000000,176500000,176500000,88250000,749432256,"127219022,271686","198285453,89","202904762,57","424144037,792022","404341742,336881",28,0,0,258,27,0,"4983780341,47143",0,"1835750898,48",2017,4
OMI CLEAR,Q4-2017,aggregated,"1941895,15",0,0,"44473268,6","44473268,6",0,"8460368,85","44473268,6","For additional information regarding participants commitment to replenish the default fund, please see OMIClear Instruction B07-2014.",0,"55692291,22","42157879,65","90694591,3","115871902,83","193768073,01","193768073,01",4,10,n.a.,70,4,0,"6279412,75",0,"732377675,28",2017,4
LCHLTD,Q4-2017,commodities,200116,0,0,23155173,23155173,0,0,23155173,23155173,0,10681230,4194113,0,0,153338250000,144120470000,19,0,0,Unknown,19,,,,,2017,4
LCHLTD,Q4-2017,equities,2209122,0,0,253598277,253598277,0,0,253598277,253598277,0,92027997,46177428,282283060,1128760298,153338250000,144120470000,22,13,2,Unknown,22,0,0,468866178,1708497610,2017,4
LCHLTD,Q4-2017,fixed income,10110000,0,0,1158720000,1167270000,0,0,1158720000,1158720000,0,714070000,531840000,0,10414000000,153338250000,144120470000,7,75,0,0,7,,,,,2017,4
LCHLTD,Q4-2017,OTC FX,12307179,0,0,1410205953,1410205953,0,0,1410205953,1410205953,0,1394897023,874059868,10130909,4479729842,153338250000,144120470000,11,19,0,17,11,42677461843,0,990260368540,0,2017,4
LCHLTD,Q4-2017,interest rates,49198065,0,0,5635517284,5635517284,0,0,5635517284,5635517284,0,4054698330,3594175129,57876762507,104498269896,153338250000,144120470000,54,55,0,19265,54,2091991403234,0,178545785206336,0,2017,4
ICE CLEAR NETHERLANDS,Q4-2017,aggregated,1875000,0,0,3000000,3000000,0,0,6000000,See ICNL Rulebook - Rules 908 and 909.  https://www.theice.com/publicdocs/ICNL_Clearing_Rules.pdf,0,4822421,1830384,0,0,0,0,3,1,0,,1,,0,0,0,2017,4
LCHSA,Q4-2017,cash and derivatives,12630000,0,0,2100650000,2100650000,0,0,2100650000,2100650000,0,1075290000,762830000,3471550000,4536530000,25467000000,24921910000,46,23,0,223,46,,,,,2017,4
LCHSA,Q4-2017,fixed income,8830000,0,0,1468200000,1468200000,0,0,1468200000,1468200000,0,329850000,212260000,7950000,15627140000,25467000000,24921910000,13,44,1,2,13,,,,,2017,4
LCHSA,Q4-2017,OTC CDS,20000000,0,0,1048660000,1048660000,0,0,1048660000,1048660000,0,358240000,253620000,14890000,2016400000,25467000000,24921910000,11,2,0,7,11,3316381085,0,121314497809,0,2017,4
LCHSA,Q4-2017,€GC plus,840000,0,0,140030000,140030000,0,0,140030000,140030000,0,138400000,55000000,3650000,4320000,25467000000,24921910000,1,9,0,,,,,,,2017,4
LCHSA,Q4-2017,equity clear,,,,,,,,,,,,,,,25467000000,24921910000,,,,,,0,,0,670837279,2017,4
LCHSA,Q4-2017,listed derivatives,,,,,,,,,,,,,,,25467000000,24921910000,,,,,,0,0,0,0,2017,4
LME,Q4-2017,aggregated,16926540,0,0,977920506,977920506,0,16926540,977920506,977920506,33853080,947811829,565042549,10597688829,13939495039,8928166624,9240030043,55,0,0,,,0,92396036206,0,131597503448,2017,4
Euro-ccp,Q4-2017,aggregated,4335767,0,0,240284920,256385208,0,0,240284920,240284920,0,138707696,23382070,,,1058682135,1034850145,21,27,2,31,3,0,0,0,0,2017,4
CCG,Q4-2017,equity,"4801123,36",,,1302433000,1302433000,,"4801123,36",1953649500,1302433000,,"141652,37","17906,56","1513629392,48","2026555220,68","2157548736,87","1945862118,95",29,15,0,49,15,0,92012103174,0,20491291167,2017,4
CCG,Q4-2017,bound,"14015047,07",,,3801956000,3801956000,,"14015047,07",5702934000,3801956000,,,,"115114476,78","7324403798,54","6298139992,94","5680201713,5",17,54,0,26,10,0,1561284611,0,438697667062,2017,4
CCG,Q4-2017,idex,"42108,29",,,11423000,11423000,,"42108,29",17134500,11423000,,,,"3736081,03","3736081,03","18922800,04","17066200,71",6,0,0,9,4,0,6043214318,0,61550307,2017,4
CCG,Q4-2017,agrex,"976,86",,,265000,265000,,"976,86",397500,265000,,,,0,0,"438986,43","395915,54",3,0,0,1,2,0,667858,0,0,2017,4
CCP AUSTRIA,Q4-2017,aggregated,1875000,0,0,"23340001,84","23340001,84",0,1875000,"116700009,2","116700009,2",0,"26548196,36","16337938,7166667","15623080,56","24986861,88","196928749,49","187702356,49",7,42,0,,49,0,"284087172,238683",0,"296971841,503334",2017,4
Eurex,Q4-2017,aggregated,150000000,,,3193111839,"4177965990,93",,600000000,,6386223678,315000000,"3493142700,79","2837838777,09","24293581475,42","38211023503,4","51337642350,48","47912943184,09",84,145,0,535,190,,,,,2017,4
KELER,Q3-2017,TEA,"594275,375124506","16065,2893358609",,"6226906,1465797","6226906,1465797",0,0,0,"6226906,1465797",0,"4428985,61835299","1261004,32922564","6935789,58647945","8855726,76155898","54298539,1786058","53365984,7925971",11,10,0,,18,0,"9014623,01538462",0,"33273339,6278807",2017,3
KELER,Q3-2017,KGA,"867709,333933104","16065,2893358609",,"9099379,87983163","9099379,87983163",0,0,0,"9099379,87983163",0,"6930263,51574398","2481004,98744","16480384,2495903","27289390,2580085","63615757,6411972","62128525,8619028",8,4,0,1093,9,0,"26578,1538461538",0,"30558127,4223882",2017,3
KELER,Q3-2017,TP KGA,"310168,897599846","16065,2893358609",,"3242315,67008322","3242315,67008322",0,0,0,"3242315,67008322",0,,,0,"10290250,7052662","17978835,53642","17978835,53642",0,37,0,,0,0,0,0,0,2017,3
KELER,Q3-2017,CEEGEX KGA,"64229,4541014684","16065,2893358609",,"658676,862770298","658676,862770298",0,0,0,"658676,862770298",0,"392192,652539922","57014,0875519011",0,"1556810,07614947","9924563,02927787","9924087,31163448",0,21,0,,0,0,0,0,0,2017,3
Kdpw,Q3-2017,organised market,1635548,40074897,9776976,33656792,40903414,91586,0,16828396,33565206,0,160884708,59990378,144661271,150719158,294828189,292278318,10,23,0,,,0,197823894,0,469819972,2017,3
Kdpw,Q3-2017,OTC market,1382581,,,28451165,28451165,136810,0,14225582,28314354,0,"109867992,373638","68588377,4783578",0,27829816,39578554,39578554,2,14,0,,,71866214,0,64716602386,0,2017,3
ICE CLEAR EUROPE,Q3-2017,F&O,84702693,0,0,1948161951,1996003426,0,0,3896323903,,0,2032864645,1239693751,25086743209,29599092954,33660468343,32414705667,73,0,0,Not available,63,0,0,0,0,2017,3
ICE CLEAR EUROPE,Q3-2017,CDS,42326250,0,0,814009255,815801659,0,0,814009255,,0,132223397,39763128,886730990,5681212953,6359304395,6191871198,22,0,0,Not available,13,8013302806,0,,0,2017,3
Nasdaq,Q3-2017,Financial Markets,9845579,0,13503158,244051197,270511302,1829206,4062640,186444191,186444191,0,243780879,193244037,1925218058,3203886819,4597616605,4066407016,18,23,0,4157,40,9171018247,2854049274,298874612610,8627850606,2017,3
Nasdaq,Q3-2017,Commodities,4338089,0,6571573,97750000,117975262,50268661,23790196,85000000,85000000,0,98775039,78221458,915726566,1559233668,2026458728,1949452721,13,88,0,234,179,0,151795043,0,8993855865,2017,3
Nasdaq,Q3-2017,Seafood,481915,0,148389,5131474,8071023,3460309,1698117,4462151,4462151,0,16077556,6501192,7816613,35208337,38577829,38213894,,,,22,22,0,3473974,0,256020664,2017,3
BME CLEARING,Q3-2017,financial derivatives,2000000,-,-,212300000,212300000,-,4000000,424600000,424600000,212300000,"350968612,64","209141479,300664","1251744302,41","2349773717,1","2700488939,99814","2535565971,1074",33,0,0,75720,33,0,"2589655076,92308",0,"18045840338,2463",2017,3
BME CLEARING,Q3-2017,repo,1000000,-,-,28000000,28000000,-,2000000,56000000,56000000,28000000,"83624817,23","23584335,0178515",0,"1157292718,99","1619830843,15844","1590458329,82487",0,28,0,16,1,0,"1956229419,48441",0,"12617213825,87",2017,3
BME CLEARING,Q3-2017,power,500000,-,-,6050000,6050000,-,1000000,12100000,12100000,6050000,"21539150,61","12054126,3532813","81403225,4","81403225,4","79361855,0120577","79251140,7277576",6,0,0,150,6,0,"2444018,14315385",0,"506972657,425",2017,3
BME CLEARING,Q3-2017,IRS,1000000,-,-,9000000,9000000,-,2000000,18000000,18000000,9000000,"25007487,7","12279027,4547113",0,"18532714,16","46520922,5067737","44408722,4546626",0,10,0,0,0,"3557692,30769231",0,"1248913313,87",0,2017,3
BME CLEARING,Q3-2017,equity,1500000,-,-,111000000,111000000,-,3000000,222000000,222000000,111000000,749432256,"123067655,216328","331422270,46","338196717,51","698221697,432338","668216210,61531",29,0,0,275,30,0,"3964587948,04092",0,"3351322387,01",2017,3
